cupcake,link,eggs,sugar,salt,flour,butter,vanilla,water,baking_powder,oil,buttermilk,milk
1,https://www.allrecipes.com/recipe/282789/mini-vanilla-cupcakes/,1,21.33333349227904,0.0416625,12,14,0.6666,0,0.249975,0,0,4
1,https://www.allrecipes.com/recipe/7717/self-filled-cupcakes-i/,1,8,0,0,0,0,0,0,0,0,0
1,https://www.allrecipes.com/recipe/79313/carrot-cupcakes-with-white-chocolate-cream-cheese-icing/,2,87.33333349227904,0.16665,24,8,0.6666,0,0,0,0,0
1,https://www.allrecipes.com/recipe/8221/black-bottom-cupcakes-i/,1,21.33333349227904,0.20831249999999998,24,0,0.3333,16,0,0,0,0
1,https://www.allrecipes.com/recipe/8259/cream-cheese-cupcakes/,5,16,0,0,0,0.49995,0,0,0,0,0
1,https://www.allrecipes.com/recipe/8354590/lemon-blueberry-cupcakes-with-blueberry-lemon-buttercream-frosting/,2,74,0.20831249999999998,29,24,0.16665,0,0.6666,0,10.671999999999999,0
1,https://www.allrecipes.com/recipe/8490130/johns-creek-chocolate-cupcakes/,2,80,0.083325,16,16,0.3333,0,0.249975,0,0,12
1,https://www.allrecipes.com/rhubarb-upside-down-cupcakes-recipe-7182120,3,18,0,0,6,0,16,0,1,0,0
1,https://www.allrecipes.com/s-mores-cupcakes-recipe-8646947,1,16,0.16665,16,4,0.6666,8,0.16665,2,0,0
1,https://www.allrecipes.com/strawberries-and-cream-cupcakes-recipe-8659397,3,18,0.9999,26.720000000000002,8,1,0,0.49995,1,0,16
1,https://www.allrecipes.com/tiramisu-cupcakes-recipe-8721000,2,16,0.9999,26.720000000000002,8,1,0,0.49995,1,0,16
1,https://www.allrecipes.com/vanilla-bean-cupcakes-with-espresso-frosting-recipe-7375874,5,20,0.9999,32,48,0.6666,0,0.6666,0,20,0
1,https://www.allrecipes.com/wild-blueberry-lemon-crumb-cakes-recipe-8611291,2,10,0.3333,21.28,8,0.083325,0,0.3333,0,0,2
0,https://www.allrecipes.com/applesauce-muffins-recipe-8702299,1,24,0.16665,32,2,0,0,0.6666,0,0,8
