state,academic_year,tuition
Florida,2014-15,6344.999755265317
Florida,2015-16,6360.159309231394
Georgia,2004-05,4298.0400950369585
Georgia,2005-06,4492.166898669396
Georgia,2006-07,4584.267744471745
Georgia,2007-08,4790.265837734038
Georgia,2008-09,4831.364505100834
Georgia,2009-10,5549.912617076308
Georgia,2010-11,6428.007247340731
Georgia,2011-12,7709.284142314604
Georgia,2012-13,7853.256625811859
Georgia,2013-14,7992.389604274045
Georgia,2014-15,8063.014195175817
Georgia,2015-16,8446.961426315582
Hawaii,2004-05,4266.538775079197
Hawaii,2005-06,4263.772333674513
Hawaii,2006-07,4957.201267813268
Hawaii,2007-08,5748.089860777724
Hawaii,2008-09,6317.771280755032
Hawaii,2009-10,7356.293920158254
Hawaii,2010-11,8164.182229337052
Hawaii,2011-12,8839.584777046945
Hawaii,2012-13,8972.025377121307
Hawaii,2013-14,9269.589847646064
Hawaii,2014-15,9712.779264002842
Hawaii,2015-16,10174.733720305641
Idaho,2004-05,4524.84959873284
Idaho,2005-06,4790.179058341862
Idaho,2006-07,4873.936235872236
Idaho,2007-08,5020.556063370139
Idaho,2008-09,5003.874488552672
Idaho,2009-10,5414.711071692261
Idaho,2010-11,5834.68641490567
Idaho,2011-12,6002.2132771487495
Idaho,2012-13,6238.646230532859
Idaho,2013-14,6462.25794963741
Idaho,2014-15,6609.709179090757
Idaho,2015-16,6818.470343746806
Illinois,2004-05,8182.782872228087
Illinois,2005-06,8444.492098259978
Illinois,2006-07,9449.994751842753
Illinois,2007-08,10424.929169467114
Illinois,2008-09,10872.468831263297
Illinois,2009-10,11536.459733179787
Illinois,2010-11,12007.631385572287
Illinois,2011-12,12285.417179380493
Illinois,2012-13,12675.212445003142
Illinois,2013-14,12852.833102663104
Illinois,2014-15,12812.552601922614
Illinois,2015-16,13189.100826230002
Indiana,2004-05,7367.528711721224
Indiana,2005-06,7517.478863868986
Indiana,2006-07,7687.356117936118
Indiana,2007-08,7876.8422947671625
Indiana,2008-09,7835.642141441326
Indiana,2009-10,8470.044355494054
Indiana,2010-11,8744.366807179455
Indiana,2011-12,8813.175883712076
Indiana,2012-13,9078.277157971925
Indiana,2013-14,9118.778417870133
Indiana,2014-15,9048.660744365508
Indiana,2015-16,9119.648545884287
Iowa,2004-05,6813.105480464625
Iowa,2005-06,6862.829201637665
Iowa,2006-07,6919.20687960688
Iowa,2007-08,7124.102602016323
Iowa,2008-09,6979.602034878434
Iowa,2009-10,7438.301414899397
Iowa,2010-11,7832.4918008724335
Iowa,2011-12,7988.162055930808
Iowa,2012-13,8157.428390599902
Iowa,2013-14,8007.1942935708275
Iowa,2014-15,7868.433512232146
Iowa,2015-16,7877.344019168941
Kansas,2004-05,5345.143970432946
Kansas,2005-06,5739.176796315251
Kansas,2006-07,6113.52973955774
Kansas,2007-08,6583.3215746519445
Kansas,2008-09,6520.6603807895835
Kansas,2009-10,6995.017659541864
Kansas,2010-11,7254.496598795474
Kansas,2011-12,7309.981675091402
Kansas,2012-13,7583.4604371813675
Kansas,2013-14,7896.354244079521
Kansas,2014-15,8270.389996147695
Kansas,2015-16,8530.493830784435
Kentucky,2004-05,5639.996325237592
Kentucky,2005-06,6142.22602865916
Kentucky,2006-07,6759.713297297298
Kentucky,2007-08,7193.991675468074
Kentucky,2008-09,7387.550171846301
Kentucky,2009-10,7886.018007810505
Kentucky,2010-11,8230.958190183064
Kentucky,2011-12,8423.380618089428
Kentucky,2012-13,8814.731074097353
Kentucky,2013-14,8888.902468594617
Kentucky,2014-15,9223.341423101563
Kentucky,2015-16,9566.67257334121
Louisiana,2004-05,4453.0265892291445
Louisiana,2005-06,4512.930040941657
Louisiana,2006-07,4421.255921375921
Louisiana,2007-08,4388.117234757561
Louisiana,2008-09,4419.076494335436
Louisiana,2009-10,4745.352601102387
Louisiana,2010-11,5181.157748920926
Louisiana,2011-12,5541.642177388656
Louisiana,2012-13,6119.894240170403
Louisiana,2013-14,6748.433250658339
Louisiana,2014-15,7336.703233068446
Louisiana,2015-16,7870.959722650475
Maine,2004-05,7057.555723336853
Maine,2005-06,7407.55634595701
Maine,2006-07,7758.893680589681
Maine,2007-08,8402.72892942871
Maine,2008-09,8764.375134112854
Maine,2009-10,9468.541014436896
Maine,2010-11,9791.983110943944
Maine,2011-12,9893.827798974866
Maine,2012-13,9753.288471611146
Maine,2013-14,9594.341144540145
Maine,2014-15,9560.244160397668
Maine,2015-16,9572.968444568556
Maryland,2004-05,8530.557444561773
Maryland,2005-06,8716.85567041965
